text,label
我们来学习如何求得圆的面积,继续
我们来看看圆的面积应该怎么求,继续
接下来我们学习一下圆的面积公式,继续
下面我们一起分析这道关于圆面积的题,继续
这一题我们先来讲圆的面积怎么计算,继续
现在我们继续学习如何计算圆的面积,继续
我们先来梳理一下求圆面积的步骤,继续
先别着急写答案，大家先想一想。,继续
这道题其实不难，关键在于理解条件。,继续
这个知识点上节课我们讲过，还记得吗？,继续
大家先把笔放下，听我讲一下这一题。,继续
不要只看答案，过程更重要。,继续
我再给大家一分钟时间整理思路。,继续
张晓丹你这个思路是对的，但是还差一步。,继续
这道题我们换个角度来看。,继续
这个错误很多同学都会犯，要注意。,继续
张晓丹你刚才的想法其实很好。,继续
这一题我们可以类比上一题。,继续
好，这一题我们就讲到这里。,继续
接下来我们看下一道例题。,继续
大家先自己做一做。,继续
丽娃这个地方你再想一想。,继续
这一步其实是关键。,继续
大家注意这里的单位。,继续
不要想得太复杂。,继续
这个题目考察的是基本概念。,继续
崔展豪你这个方向是对的。,继续
好，这节课我们先到这里,下课
这一步大家先不要急着往下写。,继续
先把题目条件再读一遍。,继续
我们把刚才的思路接着往下推。,继续
后面的推导我再带大家过一遍。,继续
先停一下，听我补充一个细节。,继续
这一问先放一放，我们继续看下一问。,继续
大家把注意力放到第二个条件上。,继续
这一段内容大家先记下来。,继续
先别回答，我们再想十秒钟。,继续
刚才那个方法我们继续用。,继续
你这个思路先保留，我们继续往后看。,继续
大家跟着我的板书继续分析。,继续
我们看下课本上的这道例题。,继续
大家先看下课本第十二页。,继续
先翻下课本，我们看定义部分。,继续
把课本打开到下一页，我们继续。,继续
我们先看一下课本上的例题。,继续

这个地方有没有同学有不同的看法？,提问
有没有人愿意主动讲一下思路？,提问
有没有更简便的方法？,提问
大家有没有发现这里的规律？,提问
有没有人可以用另一种方法做出来？,提问
有困难的同学可以举手。,提问
谁来提一个问题？,提问
有不明白的地方请举手。,提问
哪位同学愿意先提问？,提问
如果你有疑惑就举手示意。,提问
还没听懂的同学请举手。,提问
谁还有别的问题？,提问
你们对这一步有疑问吗？,提问
有补充问题的同学举手。,提问
谁想先说说自己的疑问？,提问
想发问的同学先举手。,提问
对这个结论有疑问的请举手。,提问
有不同看法可以先举手。,提问
谁还想再问一个问题？,提问
如果还有不懂的地方就举手。,提问
请有疑惑的同学把手举起来。,提问
哪位同学还有问题想问？,提问
想继续提问的同学请举手。,提问
对这道题不确定的请举手。,提问
有哪里没明白请马上举手。,提问
谁愿意先提个问题出来？,提问
大家讨论的结果是什么？,提问
有没有同学想说讨论结果？,提问
讨论出结果了吗？,提问
讨论得怎么样？,提问
讨论得如何呢？,提问

李昌龙你帮张晓丹看看她这一步哪里有问题。,回答
李昌龙你来回答一下这个问题。,回答
崔展豪你刚刚是不是有点思路，可以讲一下。,回答
包梓群你来试试看。,回答
张晓丹你刚才点头了，说说你的想法。,回答
萧华诗你觉得这个结论对吗？,回答
包梓群，这一步你是怎么推出来的？,回答
萧华诗你来补充一下。,回答
李昌龙你刚刚写的这个式子是怎么来的？,回答
崔展豪你再解释清楚一点。,回答
丽娃你觉得这里为什么要这么处理？,回答
包梓群你来总结一下这道题。,回答
萧华诗你再帮大家重复一遍关键步骤。,回答
包梓群你看看黑板上的解法有没有问题。,回答
张晓丹你来评价一下这个答案。,回答
萧华诗你觉得这个方法优不优？,回答
李昌龙你刚才是不是卡住了？说说哪里不懂。,回答
崔展豪你来带着大家一步一步走一下。,回答
包梓群你这个结果是怎么算出来的？,回答
张晓丹你再检查一下有没有漏条件。,回答
萧华诗你帮他指出问题在哪。,回答
李昌龙你再试一次。,回答
丽娃你可以再简化一下过程。,回答
萧华诗你来做个总结。,回答
李昌龙你起立说一下你的答案。,回答
崔展豪你把思路完整讲一遍。,回答
包梓群你来说明一下原因。,回答
丽娃你把这一步解释一下。,回答
张晓丹你站起来回答第二问。,回答
萧华诗你把过程再说清楚一点。,回答
请你来讲讲为什么选这个答案。,回答
这位同学你来补充一下依据。,回答
请前排这位同学回答。,回答
你来告诉大家这一步怎么做。,回答
李昌龙你把结果写出来并说明理由。,回答
崔展豪你来读一下你的解题过程。,回答
张晓丹同学你刚刚举手有什么问题吗。,回答
崔展豪你刚才举手是想补充什么？,回答
丽娃你举手了，你来说一下。,回答
包梓群刚刚举手了，你来回答。,回答
萧华诗你刚才举手，是不是有想法？,回答
李昌龙你刚举手，讲讲你的思路。,回答
张晓丹刚才举手了，请你说一下。,回答
请刚刚举手的这位同学回答。,回答
刚才举手的同学，你来解释一下。,回答
你既然举手了，就来说说看。,回答
崔展豪你刚举手，是哪里还有疑问？,回答
丽娃刚才举手了，你想说什么？,回答
包梓群你是不是刚刚举手了？你来讲一下。,回答
萧华诗你举手是想回答还是补充？你先说。,回答
李昌龙刚刚举手示意了，你来回答这一题。,回答
张晓丹你刚才把手举起来了，说说你的问题。,回答
