text,name,label
先别着急写答案，大家先想一想。,None,0
这道题其实不难，关键在于理解条件。,None,0
这个知识点上节课我们讲过，还记得吗？,None,0
大家先把笔放下，听我讲一下这一题。,None,0
不要只看答案，过程更重要。,None,0
我再给大家一分钟时间整理思路。,None,0
张晓丹你这个思路是对的，但是还差一步。,张晓丹,1
张晓丹你这个思路是对的，但是还差一步。,李昌龙,0
这道题我们换个角度来看。,None,0
这个错误很多同学都会犯，要注意。,None,0
张晓丹你刚才的想法其实很好。,张晓丹,1
张晓丹你刚才的想法其实很好。,李昌龙,0
这一题我们可以类比上一题。,None,0
好，这一题我们就讲到这里。,None,0
接下来我们看下一道例题。,None,0
大家先自己做一做。,None,0
丽娃这个地方你再想一想。,丽娃,1
丽娃这个地方你再想一想。,李昌龙,0
这一步其实是关键。,None,0
大家注意这里的单位。,None,0
不要想得太复杂。,None,0
这个题目考察的是基本概念。,None,0
崔展豪你这个方向是对的。,崔展豪,1
崔展豪你这个方向是对的。,李昌龙,0
好，这节课我们先到这里,None,0
这一步大家先不要急着往下写。,None,0
先把题目条件再读一遍。,None,0
我们把刚才的思路接着往下推。,None,0
后面的推导我再带大家过一遍。,None,0
先停一下，听我补充一个细节。,None,0
这一问先放一放，我们继续看下一问。,None,0
大家把注意力放到第二个条件上。,None,0
这一段内容大家先记下来。,None,0
先别回答，我们再想十秒钟。,None,0
刚才那个方法我们继续用。,None,0
你这个思路先保留，我们继续往后看。,None,0
大家跟着我的板书继续分析。,None,0
这个地方有没有同学有不同的看法？,None,0
有没有人愿意主动讲一下思路？,None,0
李昌龙你帮张晓丹看看她这一步哪里有问题。,李昌龙,1
李昌龙你帮张晓丹看看她这一步哪里有问题。,张晓丹,0
李昌龙你帮张晓丹看看她这一步哪里有问题。,崔展豪,0
有没有更简便的方法？,None,0
大家有没有发现这里的规律？,None,0
有没有人可以用另一种方法做出来？,None,0
有困难的同学可以举手。,None,0
谁来提一个问题？,None,0
有不明白的地方请举手。,None,0
哪位同学愿意先提问？,None,0
如果你有疑惑就举手示意。,None,0
还没听懂的同学请举手。,None,0
谁还有别的问题？,None,0
你们对这一步有疑问吗？,None,0
有补充问题的同学举手。,None,0
谁想先说说自己的疑问？,None,0
想发问的同学先举手。,None,0
对这个结论有疑问的请举手。,None,0
有不同看法可以先举手。,None,0
谁还想再问一个问题？,None,0
如果还有不懂的地方就举手。,None,0
请有疑惑的同学把手举起来。,None,0
哪位同学还有问题想问？,None,0
想继续提问的同学请举手。,None,0
对这道题不确定的请举手。,None,0
有哪里没明白请马上举手。,None,0
谁愿意先提个问题出来？,None,0
李昌龙你来回答一下这个问题。,李昌龙,1
李昌龙你来回答一下这个问题。,崔展豪,0
崔展豪你刚刚是不是有点思路，可以讲一下。,崔展豪,1
崔展豪你刚刚是不是有点思路，可以讲一下。,李昌龙,0
包梓群你来试试看。,包梓群,1
包梓群你来试试看。,李昌龙,0
张晓丹你刚才点头了，说说你的想法。,张晓丹,1
张晓丹你刚才点头了，说说你的想法。,李昌龙,0
萧华诗你觉得这个结论对吗？,萧华诗,1
萧华诗你觉得这个结论对吗？,李昌龙,0
包梓群，这一步你是怎么推出来的？,包梓群,1
包梓群，这一步你是怎么推出来的？,李昌龙,0
萧华诗你来补充一下。,萧华诗,1
萧华诗你来补充一下。,李昌龙,0
李昌龙你刚刚写的这个式子是怎么来的？,李昌龙,1
李昌龙你刚刚写的这个式子是怎么来的？,崔展豪,0
崔展豪你再解释清楚一点。,崔展豪,1
崔展豪你再解释清楚一点。,李昌龙,0
丽娃你觉得这里为什么要这么处理？,丽娃,1
丽娃你觉得这里为什么要这么处理？,李昌龙,0
包梓群你来总结一下这道题。,包梓群,1
包梓群你来总结一下这道题。,李昌龙,0
萧华诗你再帮大家重复一遍关键步骤。,萧华诗,1
萧华诗你再帮大家重复一遍关键步骤。,李昌龙,0
包梓群你看看黑板上的解法有没有问题。,包梓群,1
包梓群你看看黑板上的解法有没有问题。,李昌龙,0
张晓丹你来评价一下这个答案。,张晓丹,1
张晓丹你来评价一下这个答案。,李昌龙,0
萧华诗你觉得这个方法优不优？,萧华诗,1
萧华诗你觉得这个方法优不优？,李昌龙,0
李昌龙你刚才是不是卡住了？说说哪里不懂。,李昌龙,1
李昌龙你刚才是不是卡住了？说说哪里不懂。,崔展豪,0
崔展豪你来带着大家一步一步走一下。,崔展豪,1
崔展豪你来带着大家一步一步走一下。,李昌龙,0
包梓群你这个结果是怎么算出来的？,包梓群,1
包梓群你这个结果是怎么算出来的？,李昌龙,0
张晓丹你再检查一下有没有漏条件。,张晓丹,1
张晓丹你再检查一下有没有漏条件。,李昌龙,0
萧华诗你帮他指出问题在哪。,萧华诗,1
萧华诗你帮他指出问题在哪。,李昌龙,0
李昌龙你再试一次。,李昌龙,1
李昌龙你再试一次。,崔展豪,0
丽娃你可以再简化一下过程。,丽娃,1
丽娃你可以再简化一下过程。,李昌龙,0
萧华诗你来做个总结。,萧华诗,1
萧华诗你来做个总结。,李昌龙,0
李昌龙你起立说一下你的答案。,李昌龙,1
李昌龙你起立说一下你的答案。,崔展豪,0
崔展豪你把思路完整讲一遍。,崔展豪,1
崔展豪你把思路完整讲一遍。,李昌龙,0
包梓群你来说明一下原因。,包梓群,1
包梓群你来说明一下原因。,李昌龙,0
丽娃你把这一步解释一下。,丽娃,1
丽娃你把这一步解释一下。,李昌龙,0
张晓丹你站起来回答第二问。,张晓丹,1
张晓丹你站起来回答第二问。,李昌龙,0
萧华诗你把过程再说清楚一点。,萧华诗,1
萧华诗你把过程再说清楚一点。,李昌龙,0
请你来讲讲为什么选这个答案。,None,0
这位同学你来补充一下依据。,None,0
请前排这位同学回答。,None,0
你来告诉大家这一步怎么做。,None,0
李昌龙你把结果写出来并说明理由。,李昌龙,1
李昌龙你把结果写出来并说明理由。,崔展豪,0
崔展豪你来读一下你的解题过程。,崔展豪,1
崔展豪你来读一下你的解题过程。,李昌龙,0
张晓丹同学你刚刚举手有什么问题吗。,张晓丹,1
张晓丹同学你刚刚举手有什么问题吗。,李昌龙,0
崔展豪你刚才举手是想补充什么？,崔展豪,1
崔展豪你刚才举手是想补充什么？,李昌龙,0
丽娃你举手了，你来说一下。,丽娃,1
丽娃你举手了，你来说一下。,李昌龙,0
包梓群刚刚举手了，你来回答。,包梓群,1
包梓群刚刚举手了，你来回答。,李昌龙,0
萧华诗你刚才举手，是不是有想法？,萧华诗,1
萧华诗你刚才举手，是不是有想法？,李昌龙,0
李昌龙你刚举手，讲讲你的思路。,李昌龙,1
李昌龙你刚举手，讲讲你的思路。,崔展豪,0
张晓丹刚才举手了，请你说一下。,张晓丹,1
张晓丹刚才举手了，请你说一下。,李昌龙,0
请刚刚举手的这位同学回答。,None,0
刚才举手的同学，你来解释一下。,None,0
你既然举手了，就来说说看。,None,0
崔展豪你刚举手，是哪里还有疑问？,崔展豪,1
崔展豪你刚举手，是哪里还有疑问？,李昌龙,0
丽娃刚才举手了，你想说什么？,丽娃,1
丽娃刚才举手了，你想说什么？,李昌龙,0
包梓群你是不是刚刚举手了？你来讲一下。,包梓群,1
包梓群你是不是刚刚举手了？你来讲一下。,李昌龙,0
萧华诗你举手是想回答还是补充？你先说。,萧华诗,1
萧华诗你举手是想回答还是补充？你先说。,李昌龙,0
李昌龙刚刚举手示意了，你来回答这一题。,李昌龙,1
李昌龙刚刚举手示意了，你来回答这一题。,崔展豪,0
张晓丹你刚才把手举起来了，说说你的问题。,张晓丹,1
张晓丹你刚才把手举起来了，说说你的问题。,李昌龙,0
请举手的同学先说一下你的想法。,None,0
刚刚那位举手的同学，请你来发言。,None,0
你刚才举手，是想补充这个结论吗？,None,0
前面举手的那位同学，你来回答第二问。,None,0
崔展豪你和丽娃讨论一下这个问题。,崔展豪,1
崔展豪你和丽娃讨论一下这个问题。,丽娃,1
崔展豪你和丽娃讨论一下这个问题。,李昌龙,0
李昌龙你和崔展豪一起讨论一下这个思路。,李昌龙,1
李昌龙你和崔展豪一起讨论一下这个思路。,崔展豪,1
李昌龙你和崔展豪一起讨论一下这个思路。,包梓群,0
包梓群你和张晓丹讨论一下谁的方法更好。,包梓群,1
包梓群你和张晓丹讨论一下谁的方法更好。,张晓丹,1
包梓群你和张晓丹讨论一下谁的方法更好。,李昌龙,0
李昌龙和崔展豪先交流一下做法。,李昌龙,1
李昌龙和崔展豪先交流一下做法。,崔展豪,1
李昌龙和崔展豪先交流一下做法。,包梓群,0
包梓群跟张晓丹讨论一下第二问。,包梓群,1
包梓群跟张晓丹讨论一下第二问。,张晓丹,1
包梓群跟张晓丹讨论一下第二问。,李昌龙,0
丽娃和萧华诗先商量一下答案。,丽娃,1
丽娃和萧华诗先商量一下答案。,萧华诗,1
丽娃和萧华诗先商量一下答案。,李昌龙,0
你们两个人先对一对思路。,None,0
你们三位先讨论这个条件怎么用。,None,0
小组里先统一一下答案。,None,0
同学们围绕这个问题讨论两分钟。,None,0
前后桌之间先交流一下看法。,None,0
大家先分小组商量一下。,None,0
请三位同学一起讨论这个方案。,None,0
这道题你们可以先互相讨论。,None,0
请和同桌讨论一下为什么这样列式。,None,0
这两位同学先讨论一下思路。,None,0
你们三个先交流一下答案。,None,0
张晓丹和李昌龙先商量一下。,李昌龙,1
张晓丹和李昌龙先商量一下。,张晓丹,1
张晓丹和李昌龙先商量一下。,崔展豪,0
崔展豪跟包梓群讨论一下做法。,崔展豪,1
崔展豪跟包梓群讨论一下做法。,包梓群,1
崔展豪跟包梓群讨论一下做法。,李昌龙,0
丽娃和萧华诗先对一下答案。,丽娃,1
丽娃和萧华诗先对一下答案。,萧华诗,1
丽娃和萧华诗先对一下答案。,李昌龙,0
请这三位同学一起讨论第二题。,None,0
前后桌四个人先讨论一下。,None,0
小组成员先互相交流想法。,None,0
大家先就这个问题讨论三分钟。,None,0
请同桌之间先商量一下解法。,None,0
你们几个人围在一起讨论一下。,None,0
这道题请分组讨论完成。,None,0
请两位同学先碰一碰思路。,None,0
三位同学先围绕这个条件讨论一下。,None,0
大家在组内先展开讨论。,None,0
赞成这个做法的请举手。,None,0
不赞成的同学请举手表决。,None,0
同意这个结果的请举手。,None,0
我们现在来举手投票。,None,0
请大家表决一下是否通过。,None,0
支持这个方案的同学请举手。,None,0
反对这个方案的请举手。,None,0
现在对这个提议进行举手表决。,None,0
同意这个答案的请举手表决。,None,0
不同意这个答案的请举手表决。,None,0
赞成这个提议的请举手表决。,None,0
反对这个提议的请举手表决。,None,0
请大家用举手方式进行表决。,None,0
现在全班举手表决一下。,None,0
请同意的同学举手。,None,0
不同意见请举手。,None,0
我们来对这个方案做一个表决。,None,0
请大家举手决定是否通过。,None,0
支持这一方案的请举手表决。,None,0
反对这一方案的同学请举手。,None,0
崔展豪，张晓丹回答的对吗？,崔展豪,1
崔展豪，张晓丹回答的对吗？,张晓丹,0
崔展豪，张晓丹回答的对吗？,李昌龙,0
李昌龙，你觉得崔展豪回答的对吗？,李昌龙,1
李昌龙，你觉得崔展豪回答的对吗？,崔展豪,0
李昌龙，你觉得崔展豪回答的对吗？,张晓丹,0
张晓丹，你觉得丽娃的答案正确吗？,张晓丹,1
张晓丹，你觉得丽娃的答案正确吗？,丽娃,0
张晓丹，你觉得丽娃的答案正确吗？,李昌龙,0
包梓群，你来评价一下萧华诗刚才的回答。,包梓群,1
包梓群，你来评价一下萧华诗刚才的回答。,萧华诗,0
包梓群，你来评价一下萧华诗刚才的回答。,李昌龙,0
丽娃，你怎么看张晓丹刚才的解法？,丽娃,1
丽娃，你怎么看张晓丹刚才的解法？,张晓丹,0
丽娃，你怎么看张晓丹刚才的解法？,李昌龙,0
萧华诗，你认为包梓群这个答案对不对？,萧华诗,1
萧华诗，你认为包梓群这个答案对不对？,包梓群,0
萧华诗，你认为包梓群这个答案对不对？,李昌龙,0
张晓丹，请你说说崔展豪回答得怎么样。,张晓丹,1
张晓丹，请你说说崔展豪回答得怎么样。,崔展豪,0
张晓丹，请你说说崔展豪回答得怎么样。,李昌龙,0
李昌龙，你评价一下丽娃刚才的想法。,李昌龙,1
李昌龙，你评价一下丽娃刚才的想法。,丽娃,0
李昌龙，你评价一下丽娃刚才的想法。,崔展豪,0
崔展豪，你觉得张晓丹这个答案是否正确？,崔展豪,1
崔展豪，你觉得张晓丹这个答案是否正确？,张晓丹,0
崔展豪，你觉得张晓丹这个答案是否正确？,李昌龙,0
张晓丹，你来说说李昌龙刚才回答得怎么样。,张晓丹,1
张晓丹，你来说说李昌龙刚才回答得怎么样。,李昌龙,0
张晓丹，你来说说李昌龙刚才回答得怎么样。,崔展豪,0
李昌龙，你判断一下崔展豪这一步有没有问题。,李昌龙,1
李昌龙，你判断一下崔展豪这一步有没有问题。,崔展豪,0
李昌龙，你判断一下崔展豪这一步有没有问题。,张晓丹,0
崔展豪，你评价一下张晓丹刚才的发言。,崔展豪,1
崔展豪，你评价一下张晓丹刚才的发言。,张晓丹,0
崔展豪，你评价一下张晓丹刚才的发言。,李昌龙,0
包梓群，你看看丽娃的答案对不对。,包梓群,1
包梓群，你看看丽娃的答案对不对。,丽娃,0
包梓群，你看看丽娃的答案对不对。,李昌龙,0
丽娃，你说说萧华诗这个结论是否成立。,丽娃,1
丽娃，你说说萧华诗这个结论是否成立。,萧华诗,0
丽娃，你说说萧华诗这个结论是否成立。,李昌龙,0
萧华诗，你来判断张晓丹的回答是否完整。,萧华诗,1
萧华诗，你来判断张晓丹的回答是否完整。,张晓丹,0
萧华诗，你来判断张晓丹的回答是否完整。,李昌龙,0
张晓丹，你评价一下包梓群的解题过程。,张晓丹,1
张晓丹，你评价一下包梓群的解题过程。,包梓群,0
张晓丹，你评价一下包梓群的解题过程。,李昌龙,0
李昌龙，你觉得丽娃刚才的解释清楚吗？,李昌龙,1
李昌龙，你觉得丽娃刚才的解释清楚吗？,丽娃,0
李昌龙，你觉得丽娃刚才的解释清楚吗？,崔展豪,0
崔展豪，你说说李昌龙的结果是不是对的。,崔展豪,1
崔展豪，你说说李昌龙的结果是不是对的。,李昌龙,0
崔展豪，你说说李昌龙的结果是不是对的。,张晓丹,0
包梓群，你来看看张晓丹这一步对吗？,包梓群,1
包梓群，你来看看张晓丹这一步对吗？,张晓丹,0
包梓群，你来看看张晓丹这一步对吗？,李昌龙,0
丽娃，你评价一下崔展豪的答案是否合理。,丽娃,1
丽娃，你评价一下崔展豪的答案是否合理。,崔展豪,0
丽娃，你评价一下崔展豪的答案是否合理。,李昌龙,0
萧华诗，你判断一下李昌龙的回答有没有遗漏。,萧华诗,1
萧华诗，你判断一下李昌龙的回答有没有遗漏。,李昌龙,0
萧华诗，你判断一下李昌龙的回答有没有遗漏。,张晓丹,0
张晓丹，你觉得包梓群这个思路可不可行？,张晓丹,1
张晓丹，你觉得包梓群这个思路可不可行？,包梓群,0
张晓丹，你觉得包梓群这个思路可不可行？,李昌龙,0
李昌龙，你来说说崔展豪的解法对不对。,李昌龙,1
李昌龙，你来说说崔展豪的解法对不对。,崔展豪,0
李昌龙，你来说说崔展豪的解法对不对。,张晓丹,0
崔展豪，你帮我判断一下张晓丹的答案是否正确。,崔展豪,1
崔展豪，你帮我判断一下张晓丹的答案是否正确。,张晓丹,0
崔展豪，你帮我判断一下张晓丹的答案是否正确。,李昌龙,0
